"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","RT",2024-08-04,4,"LEP","0.48","1.3",5,NA
"2","RT",2024-08-04,4,"LEP","0.51","1.3",5,NA
"3","RT",2024-08-04,4,"LEP","1.0900000000000001","1.7",NA,NA
"4","RT",2024-08-04,4,"LEP","3.01","2.4",NA,NA
"5","RT",2024-08-04,4,"LEP","1.08","1.6",NA,NA
"6","RT",2024-08-04,4,"LEP","1.49","1.6",NA,NA
"7","RT",2024-08-04,4,"LEP","0.89","1.4",NA,NA
"8","RT",2024-08-04,4,"LEP","0.98","1.6",NA,NA
"9","RT",2024-08-04,4,"LEP","1.21","1.8",NA,NA
"10","RT",2024-08-04,4,"LEP","3.06","2.5",NA,NA
"11","RT",2024-08-04,4,"LEP","1.35","1.7",5,NA
"12","RT",2024-08-04,4,"LEP","1.2","1.7",NA,NA
"13","RT",2024-08-04,4,"LEP","1.18","1.6",NA,NA
"14","RT",2024-08-04,4,"LEP","2.63","2.4",NA,NA
"15","RT",2024-08-04,4,"LEP","1.96","2",NA,NA
"16","RT",2024-08-04,4,"LEP","0.73","1.5",NA,NA
"17","RT",2024-08-04,4,"LEP","0.82","1.7",5,NA
"18","RT",2024-08-04,4,"LEP","0.69","1.7",NA,NA
"19","RT",2024-08-04,4,"LEP","0.71","1.5",NA,NA
"20","RT",2024-08-04,4,"LEP","1.58","2",NA,NA
"21","RT",2024-08-04,4,"LEP","0.93","1.7",NA,NA
"22","RT",2024-08-04,4,"LEP","1.26","1.8",NA,NA
"23","RT",2024-08-04,4,"LEP","1.34","1.7",NA,NA
"24","RT",2024-08-04,4,"?","1.42","1.7",NA,NA
"25","RT",2024-08-04,4,"LEP","3.73","3",NA,NA
"26","RT",2024-08-04,4,"LEP","1.1100000000000001","1.9",5,NA
"27","RT",2024-08-04,4,"LEP","1.39","2",NA,NA
"28","RT",2024-08-04,4,"LEP","1.36","2.2000000000000002",NA,NA
"29","RT",2024-08-04,4,"LEP","1.62","1.8",NA,NA
"30","RT",2024-08-04,4,"LEP","3.56","2.9",NA,NA
"31","RT",2024-08-04,4,"LEP","0.85","1.6",NA,NA
"32","RT",2024-08-04,4,"LEP","0.6","1.3",NA,NA
"33","RT",2024-08-04,4,"LEP","0.77","1.6",NA,NA
"34","RT",2024-08-04,4,"LEP","0.87","1.7",NA,NA
"35","RT",2024-08-04,4,"LEP","1.47","2.2000000000000002",NA,NA
"36","RT",2024-08-04,4,"LEP","0.51","1.2",4,NA
"37","RT",2024-08-04,4,"LEP","0.86","1.4",NA,NA
"38","RT",2024-08-04,4,"LEP","1.1499999999999999","1.7",NA,NA
"39","RT",2024-08-04,4,"LEP","0.84","1.9",NA,NA
"40","RT",2024-08-04,4,"LEP","1.47","2",NA,NA
"41","RT",2024-08-04,4,"HEN","4.43","3.9",NA,NA
"42","RT",2024-08-04,4,"LEP","6","3.2",5,NA
"43","RT",2024-08-04,4,"EVA","21.9","6.5",3,NA
"44","RT",2024-08-04,4,"LEP","NA","NA",NA,NA
"45","RT",2024-08-04,4,"LEP","NA","NA",NA,NA
"46","RT",2024-08-04,5,"PIS","359.7","12.4",NA,NA
"47","RT",2024-08-04,5,"EVA","70.290000000000006","9.6999999999999993",NA,NA
"48","RT",2024-08-04,5,"LEP","0.63","1.4",NA,NA
"49","RT",2024-08-04,5,"LEP","1.44","2",NA,NA
"50","RT",2024-08-04,5,"LEP","1.06","1.7",NA,NA
"51","RT",2024-08-04,5,"LEP","0.62","1.1000000000000001",NA,NA
"52","RT",2024-08-04,5,"LEP","0.63","1.5",NA,NA
"53","RT",2024-08-04,5,"LEP","0.81","1.6",NA,NA
"54","RT",2024-08-04,5,"LEP","1.26","1.6",NA,NA
"55","RT",2024-08-04,5,"LEP","0.98","1.8",NA,NA
"56","RT",2024-08-04,5,"LEP","0.49","1.5",NA,NA
"57","RT",2024-08-04,5,"LEP","0.67","1.3",NA,NA
"58","RT",2024-08-04,5,"LEP","0.75","1.5",NA,NA
"59","RT",2024-08-04,5,"LEP","0.8","1.5",NA,NA
"60","RT",2024-08-04,5,"LEP","0.9","1.2",NA,NA
"61","RT",2024-08-04,5,"LEP","0.88","1.6",NA,NA
"62","RT",2024-08-04,5,"LEP","0.65","1.5",NA,NA
"63","RT",2024-08-04,5,"LEP","0.53","1.5",5,NA
"64","RT",2024-08-04,5,"LEP","1.38","2",NA,NA
"65","RT",2024-08-04,5,"LEP","0.55000000000000004","1.3",NA,NA
"66","RT",2024-08-04,5,"LEP","0.41","1.3",4,NA
