"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","PC",2024-06-22,"1","PIS","378.4","13.5","not scored","Belt 'assignments' not real, stars were pooled in bucket without regard for belt; numbers haphazardly assigned to indicate the number in each belt, which was assessed; in other words, we counted the number in each belt but didn't keep track of which belt stars came from for weighing and measuring, so this is our workaround"
"2","PC",2024-06-22,"3","PIS","508.3","14.2","not scored","One pisaster in belt 1, five in belt 3, all others outside"
"3","PC",2024-06-22,"3","PIS","538.4","16.7","not scored",NA
"4","PC",2024-06-22,"3","PIS","331.8","13.6","not scored",NA
"5","PC",2024-06-22,"3","PIS","394.7","14.9","not scored",NA
"6","PC",2024-06-22,"3","PIS","38.6","6.1","not scored",NA
"7","PC",2024-06-22,"x","PIS","408.2","14.7","not scored",NA
"8","PC",2024-06-22,"x","PIS","474.1","16.5","not scored",NA
"9","PC",2024-06-22,"x","PIS","308.2","15.8","not scored",NA
"10","PC",2024-06-22,"3","PIS","NA","NA","not scored","Irretrievable; actually in Belt 3 for sure"
"11","PC",2024-06-22,"x","PIS","NA","NA","not scored","Irretrievable, smaller star; outside of belts for sure"
"12","PC",2024-06-22,"1","EVA","49.11","7.2","not scored","3 Evasterias in belt 1"
"13","PC",2024-06-22,"1","EVA","88.9","10.3","not scored",NA
"14","PC",2024-06-22,"1","EVA","27.87","7.6","not scored",NA
"15","PC",2024-06-22,"1","LEP","4.59","2.8","not scored","22 Leps in Belt 1, 1 in Belt 2, 12 in Belt 3, 6 in belt 3 irretrievable"
"16","PC",2024-06-22,"1","LEP","2.15","2.2999999999999998","not scored",NA
"17","PC",2024-06-22,"1","LEP","3.45","2.6","not scored",NA
"18","PC",2024-06-22,"1","LEP","9.99","4.4000000000000004","not scored",NA
"19","PC",2024-06-22,"1","LEP","6.59","3.1","not scored",NA
"20","PC",2024-06-22,"1","LEP","0.55000000000000004","0.6","not scored",NA
"21","PC",2024-06-22,"1","LEP","1.97","2.1","not scored",NA
"22","PC",2024-06-22,"1","LEP","4.57","2.8","not scored",NA
"23","PC",2024-06-22,"1","LEP","1.9","1.9","not scored",NA
"24","PC",2024-06-22,"1","LEP","3.39","2.8","not scored",NA
"25","PC",2024-06-22,"1","LEP","2.69","2.4","not scored",NA
"26","PC",2024-06-22,"1","LEP","5.99","3.6","not scored",NA
"27","PC",2024-06-22,"1","LEP","1.97","2","not scored",NA
"28","PC",2024-06-22,"1","LEP","4.01","2.8","not scored",NA
"29","PC",2024-06-22,"1","LEP","1.5","1.7","not scored",NA
"30","PC",2024-06-22,"1","LEP","5.99","3.3","not scored",NA
"31","PC",2024-06-22,"1","LEP","3.09","2.4","not scored",NA
"32","PC",2024-06-22,"1","LEP","4.1500000000000004","3","not scored",NA
"33","PC",2024-06-22,"1","LEP","2.35","2.4","not scored",NA
"34","PC",2024-06-22,"1","LEP","3.78","2.7","not scored",NA
"35","PC",2024-06-22,"1","LEP","3.17","2.6","not scored",NA
"36","PC",2024-06-22,"1","LEP","2.19","2.1","not scored",NA
"37","PC",2024-06-22,"2","LEP","3.37","2.2999999999999998","not scored",NA
"38","PC",2024-06-22,"3","LEP","1.99","2.5","not scored",NA
"39","PC",2024-06-22,"3","LEP","4.08","3.1","not scored",NA
"40","PC",2024-06-22,"3","LEP","3.62","3.2","not scored",NA
"41","PC",2024-06-22,"3","LEP","4.43","2.6","not scored",NA
"42","PC",2024-06-22,"3","LEP","2.23","2","not scored",NA
"43","PC",2024-06-22,"3","LEP","3.52","2.9","not scored",NA
"44","PC",2024-06-22,"x","LEP","4.45","2.8","not scored",NA
"45","PC",2024-06-22,"x","LEP","5.62","3","not scored",NA
"46","PC",2024-06-22,"x","LEP","3.74","2.8","not scored",NA
"47","PC",2024-06-22,"x","LEP","7.01","3.6","not scored",NA
"48","PC",2024-06-22,"x","LEP","1.35","1.7","not scored",NA
"49","PC",2024-06-22,"x","LEP","2.3199999999999998","2.1","not scored",NA
"50","PC",2024-06-22,"x","LEP","2.5499999999999998","2.2999999999999998","not scored",NA
"51","PC",2024-06-22,"x","LEP","13.63","5.3","not scored",NA
"52","PC",2024-06-22,"x","LEP","4.8099999999999996","3.2","not scored",NA
"53","PC",2024-06-22,"x","LEP","1.77","1.9","not scored",NA
"54","PC",2024-06-22,"x","LEP","3.6","2.9","not scored",NA
"55","PC",2024-06-22,"x","LEP","2.31","2.1","not scored",NA
"56","PC",2024-06-22,"x","LEP","1.72","1.8","not scored",NA
"57","PC",2024-06-22,"x","LEP","6.33","3.6","not scored",NA
"58","PC",2024-06-22,"x","LEP","2.15","2","not scored",NA
"59","PC",2024-06-22,"x","LEP","3.21","3","not scored",NA
"60","PC",2024-06-22,"x","LEP","1.1299999999999999","1.6","not scored",NA
"61","PC",2024-06-22,"x","LEP","0.1","0.7","not scored",NA
"62","PC",2024-06-22,"3","LEP","NA","NA","not scored",NA
"63","PC",2024-06-22,"3","LEP","NA","NA","not scored",NA
"64","PC",2024-06-22,"3","LEP","NA","NA","not scored",NA
"65","PC",2024-06-22,"3","LEP","NA","NA","not scored",NA
"66","PC",2024-06-22,"3","LEP","NA","NA","not scored",NA
"67","PC",2024-06-22,"3","LEP","NA","NA","not scored",NA
