"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"2","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"3","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"4","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"5","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"6","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"7","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"8","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"9","SH",2024-08-16,3,"LEP","2.99","2.6",NA,NA
"10","SH",2024-08-16,3,"LEP","6.45","3.2",NA,NA
"11","SH",2024-08-16,3,"LEP","6.94","3.5",NA,NA
"12","SH",2024-08-16,3,"LEP","9.8699999999999992","3.9",NA,NA
"13","SH",2024-08-16,3,"LEP","1.4","1.8",NA,NA
"14","SH",2024-08-16,3,"LEP","4.0999999999999996","3.1",NA,NA
"15","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"16","SH",2024-08-16,3,"LEP","9.99","4.5",NA,NA
"17","SH",2024-08-16,3,"LEP","2.5499999999999998","2.2000000000000002",NA,NA
"18","SH",2024-08-16,3,"LEP","0.77","1.5",NA,NA
"19","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"20","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"21","SH",2024-08-16,3,"LEP","1.19","1.8",NA,NA
"22","SH",2024-08-16,3,"LEP","2.6","2.5",NA,NA
"23","SH",2024-08-16,3,"LEP","15.09","4.9000000000000004",NA,NA
"24","SH",2024-08-16,3,"LEP","3.71","2.8",NA,NA
"25","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"26","SH",2024-08-16,3,"LEP","3.28","2.6",NA,NA
"27","SH",2024-08-16,3,"LEP","4.92","2.9",NA,NA
"28","SH",2024-08-16,3,"LEP","2.08","2.2000000000000002",NA,NA
"29","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"30","SH",2024-08-16,3,"LEP","0.85","1.5",NA,NA
"31","SH",2024-08-16,3,"LEP","0.89","1.5",NA,NA
"32","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"33","SH",2024-08-16,3,"LEP","NA","NA",NA,NA
"34","SH",2024-08-16,3,"LEP","5.22","3.6",5,NA
"35","SH",2024-08-16,3,"LEP","5.37","2.9",NA,NA
