"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","PPSP",2024-08-17,2,"LEP",6.44,3.2,NA,NA
"2","PPSP",2024-08-17,2,"LEP",2.75,2.4,5,NA
"3","PPSP",2024-08-17,2,"LEP",9.99,3.9,NA,NA
"4","PPSP",2024-08-17,2,"LEP",4.29,3.4,3,NA
"5","PPSP",2024-08-17,2,"LEP",8.7,4.1,NA,NA
"6","PPSP",2024-08-17,2,"LEP",10.59,4,NA,NA
"7","PPSP",2024-08-17,2,"?",3.13,3.4,3,"SSWD?"
"8","PPSP",2024-08-17,2,"LEP",4.12,3.1,NA,NA
"9","PPSP",2024-08-17,2,"LEP",6.13,3.7,NA,NA
"10","PPSP",2024-08-17,2,"LEP",9.56,3.2,NA,NA
"11","PPSP",2024-08-17,2,"LEP",6.75,3.3,NA,NA
"12","PPSP",2024-08-17,2,"LEP",5.82,2.9,NA,NA
"13","PPSP",2024-08-17,2,"LEP",10.59,4,3,NA
"14","PPSP",2024-08-17,2,"LEP",4.29,3.1,NA,NA
"15","PPSP",2024-08-17,2,"LEP",10.82,3.9,NA,NA
"16","PPSP",2024-08-17,2,"LEP",13.88,4.9,NA,NA
"17","PPSP",2024-08-17,2,"LEP",6.71,3.1,NA,NA
"18","PPSP",2024-08-17,2,"LEP",11.66,3.9,NA,NA
"19","PPSP",2024-08-17,2,"LEP",10.39,3.8,NA,NA
"20","PPSP",2024-08-17,2,"LEP",7.85,3.5,NA,NA
"21","PPSP",2024-08-17,2,"LEP",8.16,3.6,NA,NA
"22","PPSP",2024-08-17,2,"LEP",6.44,3.3,NA,NA
"23","PPSP",2024-08-17,2,"LEP",4.88,3.5,5,"Eating a 2.4cm limpet, couldn't remove to weigh"
"24","PPSP",2024-08-17,2,"LEP",7.38,3.7,NA,NA
"25","PPSP",2024-08-17,2,"LEP",4,2.6,NA,NA
"26","PPSP",2024-08-17,2,"LEP",7.76,3.2,NA,NA
"27","PPSP",2024-08-17,2,"LEP",19.48,5,NA,NA
"28","PPSP",2024-08-17,2,"LEP",6.13,3.2,NA,NA
"29","PPSP",2024-08-17,2,"LEP",9.01,3.8,NA,NA
"30","PPSP",2024-08-17,2,"HEN",1.54,1.9,NA,NA
"31","PPSP",2024-08-17,2,"LEP",14.23,5.6,5,NA
"32","PPSP",2024-08-17,2,"LEP",7.39,4.2,NA,NA
"33","PPSP",2024-08-17,3,"LEP",8.13,3.5,NA,NA
"34","PPSP",2024-08-17,3,"HEN",1.48,1.9,NA,NA
"35","PPSP",2024-08-17,3,"LEP",0.001,0.01,NA,"Actually ""xxs"" written in both length and width"
"36","PPSP",2024-08-17,3,"LEP",2.6,2.3,5,NA
"37","PPSP",2024-08-17,3,"LEP",22.37,4.7,NA,NA
"38","PPSP",2024-08-17,3,"LEP",6.15,3.6,NA,NA
"39","PPSP",2024-08-17,3,"LEP",1.69,2.1,NA,NA
"40","PPSP",2024-08-17,3,"LEP",2.85,2.5,NA,NA
"41","PPSP",2024-08-17,3,"LEP",6.74,4.2,NA,NA
"42","PPSP",2024-08-17,3,"LEP",2.39,2.8,NA,NA
"43","PPSP",2024-08-17,3,"LEP",6.56,3.2,NA,NA
"44","PPSP",2024-08-17,3,"LEP",2.72,2.4,NA,NA
"45","PPSP",2024-08-17,3,"LEP",1.41,1.9,NA,NA
"46","PPSP",2024-08-17,3,"LEP",1.71,2,5,NA
"47","PPSP",2024-08-17,3,"LEP",3.99,3,NA,NA
"48","PPSP",2024-08-17,3,"LEP",4.74,3.1,NA,NA
"49","PPSP",2024-08-17,3,"LEP",9.51,3.8,NA,NA
"50","PPSP",2024-08-17,3,"LEP",5.3,3.2,NA,NA
"51","PPSP",2024-08-17,3,"LEP",4.85,3.6,NA,NA
"52","PPSP",2024-08-17,3,"LEP",4.59,3.4,NA,NA
"53","PPSP",2024-08-17,3,"LEP",3.81,3.1,NA,NA
"54","PPSP",2024-08-17,3,"LEP",4.09,2.5,NA,NA
"55","PPSP",2024-08-17,3,"LEP",5.8,3,NA,NA
"56","PPSP",2024-08-17,3,"LEP",4.62,2.9,NA,NA
"57","PPSP",2024-08-17,3,"LEP",3.99,2.9,NA,NA
"58","PPSP",2024-08-17,3,"LEP",2.57,2.5,NA,NA
"59","PPSP",2024-08-17,3,"LEP",0.6,1.4,NA,NA
"60","PPSP",2024-08-17,3,"LEP",4.99,2.8,NA,NA
"61","PPSP",2024-08-17,3,"LEP",2.01,2.3,7,NA
"62","PPSP",2024-08-17,3,"LEP",9.48,4.7,NA,NA
"63","PPSP",2024-08-17,3,"LEP",1.43,1.8,NA,NA
"64","PPSP",2024-08-17,3,"LEP",9.72,4.6,NA,NA
"65","PPSP",2024-08-17,3,"LEP",7.22,3.8,NA,NA
"66","PPSP",2024-08-17,3,"LEP",5.01,3,NA,NA
"67","PPSP",2024-08-17,3,"LEP",0.16,1,2,NA
"68","PPSP",2024-08-17,3,"LEP",0.68,1.3,NA,NA
"69","PPSP",2024-08-17,3,"LEP",0.62,1.3,NA,NA
