"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","LCRA",2024-06-23,"1","PIS","473.7","16.8","not scored",NA
"2","LCRA",2024-06-23,"1","PIS","434.4","15.3","not scored",NA
"3","LCRA",2024-06-23,"x","PIS","391.1","15.1","not scored",NA
"4","LCRA",2024-06-23,"x","PIS","395.2","18.399999999999999","not scored",NA
"5","LCRA",2024-06-23,"1","LEP","NA","NA","not scored","Irretrievable"
"6","LCRA",2024-06-23,"3","LEP","NA","NA","not scored","Irretrievable"
"7","LCRA",2024-06-23,"1","EVA","78.8","9.8000000000000007","not scored",NA
"8","LCRA",2024-06-23,"1","EVA","7.22","4","not scored",NA
"9","LCRA",2024-06-23,"1","EVA","11.15","4.5","not scored",NA
"10","LCRA",2024-06-23,"x","EVA","116.2","10.9","not scored",NA
"11","LCRA",2024-06-23,"x","EVA","20.6","7.1","not scored",NA
"12","LCRA",2024-06-23,"1","DRM","112.1","8.6","not scored","DRM=Dermasterias"
"13","LCRA",2024-06-23,"2","HEN","15.61","6.1","not scored",NA
"14","LCRA",2024-06-23,"2","HEN","15.87","6.8","not scored",NA
"15","LCRA",2024-06-23,"1","LEP","1.58","1.7","not scored",NA
"16","LCRA",2024-06-23,"1","LEP","1.6","1.7","not scored",NA
"17","LCRA",2024-06-23,"1","LEP","2.85","2.5","not scored",NA
"18","LCRA",2024-06-23,"1","LEP","11.49","4.2","not scored",NA
"19","LCRA",2024-06-23,"x","LEP","2.14","2.9","not scored",NA
"20","LCRA",2024-06-23,"x","LEP","4.4400000000000004","2.7","not scored",NA
"21","LCRA",2024-06-23,"x","LEP","4.75","3.2","not scored",NA
"22","LCRA",2024-06-23,"2","LEP","4.24","2.4","not scored",NA
"23","LCRA",2024-06-23,"2","LEP","1.06","2","not scored",NA
"24","LCRA",2024-06-23,"2","LEP","1.83","2.1","not scored",NA
"25","LCRA",2024-06-23,"2","LEP","4.22","3.2","not scored",NA
"26","LCRA",2024-06-23,"2","LEP","8.64","4","not scored",NA
"27","LCRA",2024-06-23,"3","LEP","0.55000000000000004","1.4","not scored",NA
"28","LCRA",2024-06-23,"3","LEP","0.28000000000000003","1","not scored",NA
"29","LCRA",2024-06-23,"3","LEP","0.2","1.1000000000000001","not scored",NA
"30","LCRA",2024-06-23,"3","LEP","0.84","1.6","not scored",NA
"31","LCRA",2024-06-23,"3","LEP","0.76","1.5","not scored",NA
"32","LCRA",2024-06-23,"3","LEP","0.2","1","not scored",NA
"33","LCRA",2024-06-23,"3","LEP","0.91","1.8","not scored",NA
"34","LCRA",2024-06-23,"x","LEP","6.59","3.3","not scored",NA
"35","LCRA",2024-06-23,"x","LEP","1.19","1.8","not scored",NA
"36","LCRA",2024-06-23,"x","LEP","0.81","1.4","not scored",NA
"37","LCRA",2024-06-23,"x","LEP","1.98","2.2999999999999998","not scored",NA
"38","LCRA",2024-06-23,"x","LEP","1.58","2","not scored",NA
"39","LCRA",2024-06-23,"x","LEP","7.64","4.0999999999999996","not scored",NA
"40","LCRA",2024-06-23,"x","LEP","3","2.7","not scored",NA
"41","LCRA",2024-06-23,"x","LEP","0.75","1.4","not scored",NA
"42","LCRA",2024-06-23,"x","LEP","5.46","3.2","not scored",NA
"43","LCRA",2024-06-23,"x","LEP","0.76","1.3","not scored",NA
"44","LCRA",2024-06-23,"x","LEP","0.97","1.5","not scored",NA
"45","LCRA",2024-06-23,"x","LEP","2.91","2.6","not scored",NA
"46","LCRA",2024-06-23,"x","LEP","0.8","1.5","not scored",NA
"47","LCRA",2024-06-23,"x","LEP","0.37","1.2","not scored",NA
"48","LCRA",2024-06-23,"x","LEP","0.88","1.5","not scored",NA
"49","LCRA",2024-06-23,"x","LEP","1.51","2","not scored",NA
"50","LCRA",2024-06-23,"x","LEP","5.14","3","not scored",NA
"51","LCRA",2024-06-23,"x","LEP","0.46","1.1000000000000001","not scored",NA
"52","LCRA",2024-06-23,"x","LEP","3.55","2.7","not scored",NA
"53","LCRA",2024-06-23,"x","LEP","1.1000000000000001","1.7","not scored",NA
"54","LCRA",2024-06-23,"x","LEP","1.1200000000000001","1.5","not scored",NA
"55","LCRA",2024-06-23,"x","LEP","1.17","1.6","not scored",NA
"56","LCRA",2024-06-23,"x","LEP","5.55","3.1","not scored",NA
"57","LCRA",2024-06-23,"x","LEP","0.52","1.6","not scored",NA
"58","LCRA",2024-06-23,"x","LEP","1.68","1.8","not scored",NA
"59","LCRA",2024-06-23,"x","LEP","1.07","1.6","not scored",NA
"60","LCRA",2024-06-23,"x","LEP","1.64","2.1","not scored",NA
"61","LCRA",2024-06-23,"x","LEP","0.61","1.3","not scored",NA
"62","LCRA",2024-06-23,"x","LEP","1.34","2","not scored",NA
