"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","PPNP",2024-07-02,1,"LEP",0.52,1.8,NA,NA
"2","PPNP",2024-07-02,1,"LEP",2.01,2.5,NA,NA
"3","PPNP",2024-07-02,1,"LEP",4.75,2.7,NA,NA
"4","PPNP",2024-07-02,1,"LEP",2.7,2,7,"photographed"
"5","PPNP",2024-07-02,1,"LEP",2.22,2.5,NA,NA
"6","PPNP",2024-07-02,1,"LEP",1.17,1.7,NA,NA
"7","PPNP",2024-07-02,1,"LEP",4.87,2.9,NA,NA
"8","PPNP",2024-07-02,1,"LEP",3.13,2.4,NA,NA
"9","PPNP",2024-07-02,1,"LEP",0.81,1.6,NA,NA
"10","PPNP",2024-07-02,1,"LEP",3.93,2.6,NA,NA
"11","PPNP",2024-07-02,1,"LEP",0.47,1.2,NA,NA
"12","PPNP",2024-07-02,1,"LEP",4.07,3.1,5,"photographed"
"13","PPNP",2024-07-02,1,"LEP",1.79,2.1,5,NA
"14","PPNP",2024-07-02,1,"LEP",2.41,2,NA,NA
"15","PPNP",2024-07-02,1,"LEP",0.87,1.7,NA,NA
"16","PPNP",2024-07-02,1,"LEP",3.56,2.7,NA,NA
"17","PPNP",2024-07-02,1,"HEN?",1.19,1.6,NA,"photographed"
"18","PPNP",2024-07-02,1,"HEN?",0.8,1.6,NA,"photographed"
"19","PPNP",2024-07-02,1,"HEN",0.15,0.6,NA,"photographed"
"20","PPNP",2024-07-02,1,"LEP",3.11,2.7,NA,NA
"21","PPNP",2024-07-02,1,"LEP",0.84,1.5,NA,NA
"22","PPNP",2024-07-02,1,"LEP",1.62,2,5,NA
"23","PPNP",2024-07-02,1,"LEP",1.04,1.6,NA,NA
"24","PPNP",2024-07-02,1,"LEP",2.61,2.2,NA,NA
"25","PPNP",2024-07-02,1,"LEP",2.59,2.4,NA,NA
"26","PPNP",2024-07-02,1,"LEP",2.99,2.9,NA,NA
"27","PPNP",2024-07-02,1,"LEP",1.7,1.9,NA,NA
"28","PPNP",2024-07-02,1,"LEP",3.26,2.3,NA,NA
"29","PPNP",2024-07-02,1,"HEN",0.71,1.4,NA,NA
"30","PPNP",2024-07-02,1,"LEP",2.48,2.3,NA,NA
"31","PPNP",2024-07-02,1,"LEP",0.71,1.5,NA,NA
"32","PPNP",2024-07-02,1,"LEP",2.57,2.2,NA,NA
"33","PPNP",2024-07-02,1,"LEP",1.25,1.6,NA,NA
"34","PPNP",2024-07-02,1,"LEP",1.04,1.9,NA,NA
"35","PPNP",2024-07-02,1,"LEP",1.9,2.1,NA,NA
"36","PPNP",2024-07-02,1,"LEP",3.16,2.4,NA,NA
"37","PPNP",2024-07-02,1,"HEN",1.49,2,NA,NA
"38","PPNP",2024-07-02,1,"HEN",0.36,1,NA,NA
"39","PPNP",2024-07-02,1,"HEN",0.42,1.1,NA,NA
"40","PPNP",2024-07-02,1,"HEN",0.69,1.3,NA,NA
"41","PPNP",2024-07-02,1,"HEN",0.23,0.7,NA,NA
"42","PPNP",2024-07-02,1,"LEP",2.32,2.4,NA,NA
"43","PPNP",2024-07-02,1,"LEP",3.65,2.6,NA,NA
"44","PPNP",2024-07-02,1,"LEP",1.5,1.7,NA,NA
"45","PPNP",2024-07-02,1,"LEP",0.75,1.6,NA,NA
"46","PPNP",2024-07-02,1,"LEP",0.46,1.1,5,NA
"47","PPNP",2024-07-02,1,"LEP",2.13,2.3,NA,NA
"48","PPNP",2024-07-02,1,"LEP",0.54,1.6,NA,NA
"49","PPNP",2024-07-02,1,"LEP",2.07,2.3,NA,NA
"50","PPNP",2024-07-02,1,"LEP",1.64,2,NA,NA
"51","PPNP",2024-07-02,1,"LEP",1.48,2.4,NA,NA
"52","PPNP",2024-07-02,1,"?",0.94,2,5,"photographed"
"53","PPNP",2024-07-02,1,"LEP",2.76,2.3,NA,NA
"54","PPNP",2024-07-02,1,"LEP",1.82,1.7,4,NA
"55","PPNP",2024-07-02,1,"LEP?",2.24,2.9,3,"""3 + 2 * .5""???"
"56","PPNP",2024-07-02,1,"LEP",1.22,1.8,NA,NA
"57","PPNP",2024-07-02,1,"LEP",5.09,2.8,NA,NA
"58","PPNP",2024-07-02,1,"LEP",0.15,0.8,NA,NA
"59","PPNP",2024-07-02,2,"LEP",1.61,2.1,NA,NA
"60","PPNP",2024-07-02,2,"LEP",1.28,1.7,NA,NA
"61","PPNP",2024-07-02,2,"LEP",0.94,1.5,NA,NA
"62","PPNP",2024-07-02,2,"LEP",2.16,2.1,NA,NA
"63","PPNP",2024-07-02,2,"LEP",4.01,2.7,NA,NA
"64","PPNP",2024-07-02,2,"LEP",0.33,1,NA,NA
"65","PPNP",2024-07-02,2,"LEP",2.54,2.4,NA,NA
"66","PPNP",2024-07-02,2,"LEP",2.08,1.9,NA,NA
"67","PPNP",2024-07-02,2,"LEP",2.9,2.7,NA,NA
"68","PPNP",2024-07-02,2,"LEP",1.28,1.6,NA,NA
"69","PPNP",2024-07-02,2,"LEP",0.7,1.4,NA,NA
"70","PPNP",2024-07-02,2,"LEP",0.71,1.6,NA,NA
"71","PPNP",2024-07-02,2,"LEP",5,2.5,NA,NA
"72","PPNP",2024-07-02,2,"LEP",0.72,1.5,NA,NA
"73","PPNP",2024-07-02,2,"LEP",2.25,2.1,5,NA
"74","PPNP",2024-07-02,2,"LEP",2.79,2.3,5,NA
"75","PPNP",2024-07-02,2,"LEP",2.85,2.3,NA,NA
