"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","PPSP",2024-07-18,"1","LEP","7.56","3.1",NA,NA
"2","PPSP",2024-07-18,"1","LEP","2.91","2.2999999999999998",NA,NA
"3","PPSP",2024-07-18,"1","LEP","3.99","2.7",NA,NA
"4","PPSP",2024-07-18,"1","LEP","2.69","2.1",NA,NA
"5","PPSP",2024-07-18,"1","LEP","5.52","3.1",NA,NA
"6","PPSP",2024-07-18,"1","LEP","1.3","1.9",NA,NA
"7","PPSP",2024-07-18,"1","LEP","2.89","2.5",NA,NA
"8","PPSP",2024-07-18,"1","LEP","1.67","2.1",NA,NA
"9","PPSP",2024-07-18,"1","LEP","1.54","2",4,NA
"10","PPSP",2024-07-18,"1","LEP","4.7","2.6",NA,NA
"11","PPSP",2024-07-18,"1","LEP","11.5","4.0999999999999996",NA,NA
"12","PPSP",2024-07-18,"1","LEP","5.99","2.5",NA,NA
"13","PPSP",2024-07-18,"1","LEP","12.78","4",NA,NA
"14","PPSP",2024-07-18,"1","LEP","1.54","1.7",NA,NA
"15","PPSP",2024-07-18,"1","LEP","4.79","3.1",NA,NA
"16","PPSP",2024-07-18,"1","LEP","2.62","2.2999999999999998",NA,NA
"17","PPSP",2024-07-18,"1","LEP","2.2799999999999998","1.8",NA,NA
"18","PPSP",2024-07-18,"1","LEP","5.34","3",NA,NA
"19","PPSP",2024-07-18,"1","LEP","1.81","1.9",5,NA
"20","PPSP",2024-07-18,"1","LEP","1.1599999999999999","1.6",NA,NA
"21","PPSP",2024-07-18,"1","LEP","1.56","1.8",NA,NA
"22","PPSP",2024-07-18,"1","LEP","7.76","3.6",NA,NA
"23","PPSP",2024-07-18,"1","LEP","2.52","2.2000000000000002",NA,NA
"24","PPSP",2024-07-18,"1","LEP","6.01","3.3",NA,NA
"25","PPSP",2024-07-18,"1","LEP","1.77","2",NA,NA
"26","PPSP",2024-07-18,"1","LEP","1.71","1.9",NA,NA
"27","PPSP",2024-07-18,"1","LEP","2.15","2.4",4,NA
"28","PPSP",2024-07-18,"1","LEP","8.1","3.3",NA,NA
"29","PPSP",2024-07-18,"1","LEP","2.72","2.1",NA,NA
"30","PPSP",2024-07-18,"1","LEP","1.71","1.7",5,NA
"31","PPSP",2024-07-18,"1","LEP","4.7300000000000004","2.8",NA,NA
"32","PPSP",2024-07-18,"1","LEP","6.99","3.5",NA,NA
"33","PPSP",2024-07-18,"1","LEP","3.31","2.6",NA,NA
"34","PPSP",2024-07-18,"1","LEP","4.91","3",NA,NA
"35","PPSP",2024-07-18,"1","LEP","2.0299999999999998","2",NA,NA
"36","PPSP",2024-07-18,"1","LEP","1.6","2",NA,NA
"37","PPSP",2024-07-18,"1","LEP","1.36","1.9",NA,NA
"38","PPSP",2024-07-18,"1","LEP","2.13","2.2000000000000002",NA,NA
"39","PPSP",2024-07-18,"1","LEP","4.1399999999999997","2.8",NA,NA
"40","PPSP",2024-07-18,"1","LEP","1.22","1.6",NA,NA
"41","PPSP",2024-07-18,"1","LEP","1.6","1.8",NA,NA
"42","PPSP",2024-07-18,"1","LEP","4.38","2.6",NA,NA
"43","PPSP",2024-07-18,"1","LEP","1.52","2",NA,NA
"44","PPSP",2024-07-18,"1","LEP","2.4700000000000002","2.5",NA,NA
"45","PPSP",2024-07-18,"1","LEP","0.28000000000000003","0.9",NA,NA
"46","PPSP",2024-07-18,"1","LEP","1.66","1.8",NA,NA
"47","PPSP",2024-07-18,"1","LEP","1.58","1.7",NA,NA
"48","PPSP",2024-07-18,"1","LEP","0.47","1.1000000000000001",4,NA
"49","PPSP",2024-07-18,"1","PIS","976.7","25.5",NA,NA
"50","PPSP",2024-07-18,"1","PIS","920.5","17.3",NA,NA
"51","PPSP",2024-07-18,"x","PIS","918.5","23.1",NA,NA
"52","PPSP",2024-07-18,"x","PIS","1297.9000000000001","22.8",NA,NA
"53","PPSP",2024-07-18,"x","PIS","802.5","16.899999999999999",NA,NA
"54","PPSP",2024-07-18,"x","PIS","1207.7","23.6",NA,NA
"55","PPSP",2024-07-18,"x","PIS","800.7","18.3",NA,NA
"56","PPSP",2024-07-18,"x","PIS","854.3","21.5",NA,NA
"57","PPSP",2024-07-18,"x","PIS","609.1","17.399999999999999",4,NA
"58","PPSP",2024-07-18,"x","PIS","1119.4000000000001","22.5",NA,NA
"59","PPSP",2024-07-18,"x","PIS","974.4","22",NA,NA
"60","PPSP",2024-07-18,"x","PIS","495.5","18.2",NA,NA
"61","PPSP",2024-07-18,"x","PIS","NA","20.3",NA,NA
"62","PPSP",2024-07-18,"x","PIS","598.1","15.5",NA,NA
"63","PPSP",2024-07-18,"x","PIS","535","17.8",4,NA
"64","PPSP",2024-07-18,"x","PIS","960.1","24",4,NA
"65","PPSP",2024-07-18,"x","PIS","NA","NA",NA,NA
"66","PPSP",2024-07-18,"x","PIS","NA","NA",NA,NA
