"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","CP",2024-07-19,"4","LEP",5.43,3.2,NA,NA
"2","CP",2024-07-19,"4","LEP",0.36,1.2,NA,NA
"3","CP",2024-07-19,"4","LEP",0.18,1,NA,NA
"4","CP",2024-07-19,"4","LEP",0.24,0.9,NA,NA
"5","CP",2024-07-19,"4","LEP",1.4,1.7,NA,NA
"6","CP",2024-07-19,"4","LEP",0.37,1,NA,NA
"7","CP",2024-07-19,"4","LEP",0.14,0.9,NA,NA
"8","CP",2024-07-19,"4","LEP",0.4,1.3,3,NA
"9","CP",2024-07-19,"""4.5""","LEP",0.59,1.1,NA,"Belt ""4.5"" [attempted 5] not completed"
"10","CP",2024-07-19,"""4.5""","LEP",3.32,2.8,NA,NA
"11","CP",2024-07-19,"""4.5""","LEP",0.7,1.1,NA,NA
"12","CP",2024-07-19,"""4.5""","LEP",4.69,2.8,NA,NA
"13","CP",2024-07-19,"""4.5""","LEP",1.07,1.7,NA,NA
