"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","PC",2024-07-21,4,"LEP",4.28,2.8,NA,"This datasheet in community survey notebook (large write-in-the-rain)"
"2","PC",2024-07-21,4,"LEP",2.44,2.1,NA,NA
"3","PC",2024-07-21,4,"LEP",0.99,1.5,NA,NA
"4","PC",2024-07-21,4,"LEP",5.25,3.4,NA,NA
"5","PC",2024-07-21,4,"LEP",3.06,2.4,NA,NA
"6","PC",2024-07-21,4,"PIS",311.7,14.2,NA,NA
"7","PC",2024-07-21,4,"PIS",452.4,16.9,NA,NA
"8","PC",2024-07-21,4,"LEP",3.01,2.4,NA,NA
"9","PC",2024-07-21,4,"LEP",1.43,2,NA,NA
"10","PC",2024-07-21,4,"LEP",3,2.3,NA,NA
"11","PC",2024-07-21,4,"LEP",0.92,1.6,NA,NA
"12","PC",2024-07-21,4,"LEP",2.75,2.4,NA,NA
"13","PC",2024-07-21,4,"LEP",2.89,2.5,5,NA
"14","PC",2024-07-21,4,"LEP",3.06,2.3,5,NA
"15","PC",2024-07-21,4,"LEP",5.99,2.8,NA,NA
