"Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"PC",2024-06-22,"1","PIS",378.4,13.5,NA,"Belt 'assignments' not real, stars were pooled in bucket without regard for belt; numbers haphazardly assigned to indicate the number in each belt, which was assessed; in other words, we counted the number in each belt but didn't keep track of which belt stars came from for weighing and measuring, so this is our workaround"
"PC",2024-06-22,"3","PIS",508.3,14.2,NA,"One pisaster in belt 1, five in belt 3, all others outside"
"PC",2024-06-22,"3","PIS",538.4,16.7,NA,NA
"PC",2024-06-22,"3","PIS",331.8,13.6,NA,NA
"PC",2024-06-22,"3","PIS",394.7,14.9,NA,NA
"PC",2024-06-22,"3","PIS",38.6,6.1,NA,NA
"PC",2024-06-22,"x","PIS",408.2,14.7,NA,NA
"PC",2024-06-22,"x","PIS",474.1,16.5,NA,NA
"PC",2024-06-22,"x","PIS",308.2,15.8,NA,NA
"PC",2024-06-22,"3","PIS",NA,NA,NA,"Irretrievable; actually in Belt 3 for sure"
"PC",2024-06-22,"x","PIS",NA,NA,NA,"Irretrievable, smaller star; outside of belts for sure"
"PC",2024-06-22,"1","EVA",49.11,7.2,NA,"3 Evasterias in belt 1"
"PC",2024-06-22,"1","EVA",88.9,10.3,NA,NA
"PC",2024-06-22,"1","EVA",27.87,7.6,NA,NA
"PC",2024-06-22,"1","LEP",4.59,2.8,NA,"22 Leps in Belt 1, 1 in Belt 2, 12 in Belt 3, 6 in belt 3 irretrievable"
"PC",2024-06-22,"1","LEP",2.15,2.3,NA,NA
"PC",2024-06-22,"1","LEP",3.45,2.6,NA,NA
"PC",2024-06-22,"1","LEP",9.99,4.4,NA,NA
"PC",2024-06-22,"1","LEP",6.59,3.1,NA,NA
"PC",2024-06-22,"1","LEP",0.55,0.6,NA,NA
"PC",2024-06-22,"1","LEP",1.97,2.1,NA,NA
"PC",2024-06-22,"1","LEP",4.57,2.8,NA,NA
"PC",2024-06-22,"1","LEP",1.9,1.9,NA,NA
"PC",2024-06-22,"1","LEP",3.39,2.8,NA,NA
"PC",2024-06-22,"1","LEP",2.69,2.4,NA,NA
"PC",2024-06-22,"1","LEP",5.99,3.6,NA,NA
"PC",2024-06-22,"1","LEP",1.97,2,NA,NA
"PC",2024-06-22,"1","LEP",4.01,2.8,NA,NA
"PC",2024-06-22,"1","LEP",1.5,1.7,NA,NA
"PC",2024-06-22,"1","LEP",5.99,3.3,NA,NA
"PC",2024-06-22,"1","LEP",3.09,2.4,NA,NA
"PC",2024-06-22,"1","LEP",4.15,3,NA,NA
"PC",2024-06-22,"1","LEP",2.35,2.4,NA,NA
"PC",2024-06-22,"1","LEP",3.78,2.7,NA,NA
"PC",2024-06-22,"1","LEP",3.17,2.6,NA,NA
"PC",2024-06-22,"1","LEP",2.19,2.1,NA,NA
"PC",2024-06-22,"2","LEP",3.37,2.3,NA,NA
"PC",2024-06-22,"3","LEP",1.99,2.5,NA,NA
"PC",2024-06-22,"3","LEP",4.08,3.1,NA,NA
"PC",2024-06-22,"3","LEP",3.62,3.2,NA,NA
"PC",2024-06-22,"3","LEP",4.43,2.6,NA,NA
"PC",2024-06-22,"3","LEP",2.23,2,NA,NA
"PC",2024-06-22,"3","LEP",3.52,2.9,NA,NA
"PC",2024-06-22,"x","LEP",4.45,2.8,NA,NA
"PC",2024-06-22,"x","LEP",5.62,3,NA,NA
"PC",2024-06-22,"x","LEP",3.74,2.8,NA,NA
"PC",2024-06-22,"x","LEP",7.01,3.6,NA,NA
"PC",2024-06-22,"x","LEP",1.35,1.7,NA,NA
"PC",2024-06-22,"x","LEP",2.32,2.1,NA,NA
