"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","DB",2024-07-22,4,"LEP","4.59","2.4",NA,NA
"2","DB",2024-07-22,4,"LEP","0.99","1.7",NA,NA
"3","DB",2024-07-22,4,"LEP","0.79","1.8",NA,NA
"4","DB",2024-07-22,4,"LEP","2.09","2.7",NA,NA
"5","DB",2024-07-22,4,"LEP","3.8","2.6",NA,NA
"6","DB",2024-07-22,4,"LEP","1.24","1.7",NA,NA
"7","DB",2024-07-22,4,"LEP","0.45","1.2",NA,NA
"8","DB",2024-07-22,4,"LEP","5.07","3",NA,NA
"9","DB",2024-07-22,4,"LEP","2.5299999999999998","2.2999999999999998",NA,NA
"10","DB",2024-07-22,4,"LEP","5","3.4",NA,NA
"11","DB",2024-07-22,4,"LEP","4.22","2.7",NA,NA
"12","DB",2024-07-22,4,"LEP","2.4900000000000002","2.4",NA,NA
"13","DB",2024-07-22,4,"LEP","0.61","1.4",NA,NA
"14","DB",2024-07-22,4,"LEP","4.37","3.1",5,NA
"15","DB",2024-07-22,4,"LEP","5.39","2.9",NA,NA
"16","DB",2024-07-22,4,"LEP","1.19","1.7",NA,NA
"17","DB",2024-07-22,4,"LEP","2.41","2.2000000000000002",NA,NA
"18","DB",2024-07-22,4,"LEP","0.56000000000000005","1.2",NA,NA
"19","DB",2024-07-22,4,"LEP","7.42","3",NA,NA
"20","DB",2024-07-22,4,"LEP","0.18","0.8",NA,NA
"21","DB",2024-07-22,4,"LEP","6.8","3.2",NA,NA
"22","DB",2024-07-22,4,"LEP","4.7300000000000004","2.8",NA,NA
"23","DB",2024-07-22,4,"LEP","1.94","1.9",NA,NA
"24","DB",2024-07-22,4,"LEP","0.56999999999999995","1.3",NA,NA
"25","DB",2024-07-22,4,"LEP","NA","NA",NA,NA
"26","DB",2024-07-22,4,"LEP","NA","NA",NA,NA
"27","DB",2024-07-22,4,"LEP","2.73","2.2999999999999998",NA,NA
"28","DB",2024-07-22,4,"LEP","0.51","1.3",NA,NA
"29","DB",2024-07-22,4,"LEP","8.4700000000000006","3.5",NA,NA
"30","DB",2024-07-22,4,"LEP","0.48","1",NA,NA
"31","DB",2024-07-22,4,"LEP","1.4","1.7",5,NA
"32","DB",2024-07-22,4,"LEP","1.5","1.8",NA,NA
"33","DB",2024-07-22,4,"LEP","1.03","1.7",NA,NA
"34","DB",2024-07-22,4,"LEP","0.42","1.3",NA,NA
"35","DB",2024-07-22,4,"LEP","1.86","2.1",NA,NA
"36","DB",2024-07-22,4,"LEP","0.89","1.6",5,NA
"37","DB",2024-07-22,4,"LEP","0.4","1.1000000000000001",NA,NA
"38","DB",2024-07-22,4,"LEP","1.37","1.8",5,NA
"39","DB",2024-07-22,4,"LEP","1.24","1.9",NA,NA
"40","DB",2024-07-22,4,"LEP","1.56","1.6",NA,NA
"41","DB",2024-07-22,4,"LEP","1.45","1.8",NA,NA
"42","DB",2024-07-22,4,"LEP","0.2","0.8",NA,NA
"43","DB",2024-07-22,4,"LEP","0.11","0.9",2,NA
"44","DB",2024-07-22,4,"LEP","0.2","0.9",NA,NA
