"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","LCRA",2024-07-23,4,"LEP","NA","NA",NA,NA
"2","LCRA",2024-07-23,4,"LEP","NA","NA",NA,NA
"3","LCRA",2024-07-23,4,"LEP","1.78","2.2999999999999998",NA,NA
"4","LCRA",2024-07-23,4,"LEP","0.95","1.5",NA,NA
"5","LCRA",2024-07-23,4,"LEP","1.74","2",NA,NA
"6","LCRA",2024-07-23,4,"LEP","1.55","1.8",NA,NA
"7","LCRA",2024-07-23,4,"LEP","3.65","2.9",NA,NA
"8","LCRA",2024-07-23,4,"LEP","1.89","2.1",NA,NA
"9","LCRA",2024-07-23,4,"EVA","8.3699999999999992","5.4",2,NA
"10","LCRA",2024-07-23,4,"LEP","1.1499999999999999","1.7",NA,NA
"11","LCRA",2024-07-23,4,"LEP","1.77","2",NA,NA
"12","LCRA",2024-07-23,4,"LEP","0.6","1.8",NA,NA
"13","LCRA",2024-07-23,4,"LEP","3.51","3",NA,NA
"14","LCRA",2024-07-23,4,"LEP","5.3","3.3",NA,NA
"15","LCRA",2024-07-23,4,"LEP","NA","NA",NA,NA
"16","LCRA",2024-07-23,4,"LEP","NA","NA",NA,NA
"17","LCRA",2024-07-23,4,"DERM","NA","NA",NA,NA
"18","LCRA",2024-07-23,4,"EVA","NA","NA",NA,NA
