"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","PPNP",2024-07-24,4,"LEP","4.99","3.1",5,NA
"2","PPNP",2024-07-24,4,"LEP","4.62","3",NA,NA
"3","PPNP",2024-07-24,4,"LEP","2.42","2.7",NA,NA
"4","PPNP",2024-07-24,4,"LEP","4.55","3",NA,NA
"5","PPNP",2024-07-24,4,"LEP","0.61","1.4",NA,NA
"6","PPNP",2024-07-24,4,"LEP","4.12","3.1",NA,NA
"7","PPNP",2024-07-24,4,"LEP","1.19","2",NA,NA
"8","PPNP",2024-07-24,4,"LEP","4.99","2.7",NA,NA
"9","PPNP",2024-07-24,4,"LEP","5.4","3.3",NA,NA
"10","PPNP",2024-07-24,4,"LEP","0.3","0.9",NA,NA
"11","PPNP",2024-07-24,4,"LEP","1.74","2.1",NA,NA
"12","PPNP",2024-07-24,4,"LEP","4.93","3.2",NA,NA
"13","PPNP",2024-07-24,4,"LEP","2.15","2.2000000000000002",NA,NA
"14","PPNP",2024-07-24,4,"LEP","3.64","2.8",NA,NA
"15","PPNP",2024-07-24,4,"LEP","2.96","2.6",NA,NA
"16","PPNP",2024-07-24,4,"LEP","0.21","1",5,NA
"17","PPNP",2024-07-24,4,"LEP","2.58","2.7",NA,NA
"18","PPNP",2024-07-24,4,"LEP","1.7","2.2000000000000002",NA,NA
"19","PPNP",2024-07-24,4,"LEP","6.53","3.5",NA,NA
"20","PPNP",2024-07-24,4,"LEP","10.24","3.6",5,NA
"21","PPNP",2024-07-24,4,"LEP","1.99","2.2000000000000002",NA,NA
"22","PPNP",2024-07-24,4,"LEP","8.01","4.2",NA,NA
"23","PPNP",2024-07-24,4,"LEP","2.31","2.2999999999999998",NA,NA
"24","PPNP",2024-07-24,4,"LEP","1.58","2",NA,NA
"25","PPNP",2024-07-24,4,"LEP","3.31","2.2999999999999998",NA,NA
"26","PPNP",2024-07-24,4,"LEP","5.86","3.1",NA,NA
"27","PPNP",2024-07-24,4,"LEP","2.34","2.8",NA,NA
"28","PPNP",2024-07-24,4,"LEP","2.37","2.5",7,NA
"29","PPNP",2024-07-24,4,"LEP","3.75","2.8",NA,NA
"30","PPNP",2024-07-24,4,"LEP","2.2000000000000002","2.2000000000000002",NA,NA
"31","PPNP",2024-07-24,4,"LEP","1.39","1.7",NA,NA
"32","PPNP",2024-07-24,4,"LEP","2.5099999999999998","2.5",NA,NA
"33","PPNP",2024-07-24,4,"LEP","0.32","1.1000000000000001",NA,NA
"34","PPNP",2024-07-24,4,"LEP","5.28","3",NA,NA
"35","PPNP",2024-07-24,4,"LEP","2.94","3.1",NA,NA
"36","PPNP",2024-07-24,4,"LEP","0.21","0.8",NA,NA
"37","PPNP",2024-07-24,4,"HEN","0.33","1.1000000000000001",NA,NA
"38","PPNP",2024-07-24,4,"HEN","0.98","1.6",NA,NA
"39","PPNP",2024-07-24,4,"LEP","3.35","2.4",NA,NA
"40","PPNP",2024-07-24,4,"LEP","0.98","1.6",NA,NA
"41","PPNP",2024-07-24,4,"LEP","4.7","2.8",NA,NA
"42","PPNP",2024-07-24,4,"LEP","5.27","2.8",NA,NA
"43","PPNP",2024-07-24,4,"LEP","4.59","2.7",NA,NA
"44","PPNP",2024-07-24,4,"LEP","1.31","2",5,NA
"45","PPNP",2024-07-24,4,"LEP","2.19","2.2000000000000002",NA,NA
"46","PPNP",2024-07-24,4,"LEP","1.1299999999999999","2.1",3,NA
"47","PPNP",2024-07-24,4,"LEP","1.56","1.9",NA,NA
"48","PPNP",2024-07-24,4,"LEP","1.22","1.8",NA,NA
"49","PPNP",2024-07-24,4,"LEP","1.66","1.9",NA,NA
"50","PPNP",2024-07-24,4,"LEP","1.51","2",NA,NA
"51","PPNP",2024-07-24,4,"LEP","2.12","2.2000000000000002",NA,NA
"52","PPNP",2024-07-24,5,"LEP","2.08","2.2999999999999998",NA,NA
"53","PPNP",2024-07-24,5,"LEP","0.33","1",NA,NA
"54","PPNP",2024-07-24,5,"LEP","4.3899999999999997","2.6",NA,NA
"55","PPNP",2024-07-24,5,"LEP","3.4","2.5",NA,NA
"56","PPNP",2024-07-24,5,"LEP","1.32","1.7",NA,NA
