"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","PC",2024-07-30,5,"PIS","563.4","16",NA,NA
"2","PC",2024-07-30,5,"PIS","NA","5.0999999999999996",NA,"NOT SURE WHETHER TO TRUST THESE PIS MEASUREMENTS--it's hard to measure accurately with a tape without unsticking them, since they lodge in crev ices etc"
"3","PC",2024-07-30,5,"PIS","NA","12",NA,NA
"4","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"5","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"6","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"7","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"8","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"9","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"10","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"11","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"12","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"13","PC",2024-07-30,5,"LEP","NA","NA",NA,NA
"14","PC",2024-07-30,5,"LEP","2.44","1.9",NA,NA
"15","PC",2024-07-30,5,"LEP","3.08","2.5",NA,NA
"16","PC",2024-07-30,5,"LEP","3.04","2.5",NA,NA
"17","PC",2024-07-30,5,"LEP","4.42","3.1",NA,NA
"18","PC",2024-07-30,5,"LEP","8.09","3.7",NA,NA
"19","PC",2024-07-30,5,"LEP","1.19","1.6",NA,NA
"20","PC",2024-07-30,5,"LEP","3.11","2.4",NA,NA
"21","PC",2024-07-30,5,"LEP","1.92","1.9",NA,NA
"22","PC",2024-07-30,5,"LEP","3.31","2.9",NA,NA
"23","PC",2024-07-30,5,"LEP","3.14","2.5",NA,NA
"24","PC",2024-07-30,5,"LEP","7.19","2.7",NA,NA
"25","PC",2024-07-30,5,"LEP","7.78","3.2",NA,NA
"26","PC",2024-07-30,5,"LEP","5.44","2.9",NA,NA
"27","PC",2024-07-30,5,"LEP","2.33","2.2999999999999998",NA,NA
"28","PC",2024-07-30,5,"LEP","1.23","1.7",NA,NA
"29","PC",2024-07-30,5,"LEP","11.79","3.9",NA,NA
"30","PC",2024-07-30,5,"LEP","0.54","1.2",NA,NA
"31","PC",2024-07-30,5,"LEP","0.3","1.1000000000000001",NA,NA
"32","PC",2024-07-30,5,"LEP","0.21","0.9",NA,NA
"33","PC",2024-07-30,5,"LEP","6.2","2.7",NA,NA
"34","PC",2024-07-30,5,"LEP","1.5","1.6",NA,NA
"35","PC",2024-07-30,5,"LEP","2.4500000000000002","2",NA,NA
"36","PC",2024-07-30,5,"LEP","3.21","2.6",NA,NA
"37","PC",2024-07-30,5,"LEP","4.55","2.5",7,NA
"38","PC",2024-07-30,5,"LEP","8.6300000000000008","3.3",NA,NA
"39","PC",2024-07-30,5,"LEP","0.8","1.5",NA,NA
