"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","CP",2024-08-02,5,"LEP","0.71","1.5",NA,NA
"2","CP",2024-08-02,5,"LEP","1.61","2.1",NA,NA
"3","CP",2024-08-02,5,"LEP","2.0099999999999998","1.9",NA,NA
"4","CP",2024-08-02,5,"LEP","3.26","2.1",NA,NA
"5","CP",2024-08-02,5,"LEP","2.56","2.2999999999999998",NA,NA
"6","CP",2024-08-02,5,"LEP","1.02","1.7",NA,NA
"7","CP",2024-08-02,5,"LEP","3.36","2.5",5,NA
"8","CP",2024-08-02,5,"LEP","0.41","1.1000000000000001",NA,NA
"9","CP",2024-08-02,5,"LEP","1.5","1.9",NA,NA
"10","CP",2024-08-02,5,"LEP","5.12","3.1",NA,NA
"11","CP",2024-08-02,5,"LEP","1.89","2",NA,NA
"12","CP",2024-08-02,5,"LEP","5.24","3",NA,NA
"13","CP",2024-08-02,5,"LEP","0.45","1.1000000000000001",NA,NA
"14","CP",2024-08-02,5,"LEP","6.58","3.1",5,NA
"15","CP",2024-08-02,5,"LEP","1.2","1.8",NA,NA
"16","CP",2024-08-02,5,"LEP","1.31","1.7",NA,NA
"17","CP",2024-08-02,5,"LEP","2.82","2.5",NA,NA
"18","CP",2024-08-02,5,"LEP","5.59","3",NA,NA
"19","CP",2024-08-02,5,"LEP","0.47","1.2",NA,NA
"20","CP",2024-08-02,5,"LEP","2.91","2.2999999999999998",NA,NA
"21","CP",2024-08-02,5,"LEP","0.91","1.5",NA,NA
"22","CP",2024-08-02,5,"LEP","0.63","1.2",NA,NA
"23","CP",2024-08-02,5,"LEP","1.0900000000000001","1.4",NA,NA
"24","CP",2024-08-02,5,"LEP","1.57","1.9",NA,NA
"25","CP",2024-08-02,5,"LEP","1.53","1.7",NA,NA
"26","CP",2024-08-02,5,"LEP","1.08","2",NA,NA
"27","CP",2024-08-02,5,"LEP","0.86","1.6",5,NA
"28","CP",2024-08-02,5,"LEP","2.0299999999999998","2.2000000000000002",NA,NA
"29","CP",2024-08-02,5,"LEP","0.95","1.6",NA,NA
"30","CP",2024-08-02,5,"LEP","0.56000000000000005","1.3",4,NA
"31","CP",2024-08-02,5,"LEP","1.36","1.9",NA,NA
"32","CP",2024-08-02,5,"LEP","0.19","0.4",5,NA
"33","CP",2024-08-02,5,"LEP","NA","NA",NA,"Under Katharina"
"34","CP",2024-08-02,5,"LEP","NA","NA",NA,"Under Katharina"
"35","CP",2024-08-02,5,"LEP","NA","NA",NA,"Under Katharina"
"36","CP",2024-08-02,5,"LEP","NA","NA",NA,"Under Katharina"
