"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","LCRA",2024-08-02,5,"LEP","1.39","1.1000000000000001",NA,NA
"2","LCRA",2024-08-02,5,"EVA","80.2","10.7",NA,NA
"3","LCRA",2024-08-02,5,"LEP","1.42","1.7",NA,NA
"4","LCRA",2024-08-02,5,"LEP","1.3","1.7",NA,NA
"5","LCRA",2024-08-02,5,"LEP","1.48","1.9","5",NA
"6","LCRA",2024-08-02,5,"LEP","7.17","3.3",NA,NA
"7","LCRA",2024-08-02,5,"LEP","1.21","1.6",NA,NA
"8","LCRA",2024-08-02,5,"LEP","3.11","2.7","5",NA
"9","LCRA",2024-08-02,5,"LEP","2.2400000000000002","2.1",NA,NA
"10","LCRA",2024-08-02,5,"LEP","1.39","1.9",NA,NA
"11","LCRA",2024-08-02,5,"LEP","2.62","2.4",NA,NA
"12","LCRA",2024-08-02,5,"LEP","1.51","1.9",NA,NA
"13","LCRA",2024-08-02,5,"LEP","1.9","1.9",NA,NA
"14","LCRA",2024-08-02,5,"LEP","2.62","2.4",NA,NA
"15","LCRA",2024-08-02,5,"LEP","1.51","1.9",NA,NA
"16","LCRA",2024-08-02,5,"LEP","1.9","1.9",NA,NA
"17","LCRA",2024-08-02,5,"LEP","1.1299999999999999","1.8",NA,NA
"18","LCRA",2024-08-02,5,"LEP","1.9","2.1",NA,NA
"19","LCRA",2024-08-02,5,"LEP","2.59","2.4",NA,NA
"20","LCRA",2024-08-02,5,"LEP","0.67","1.3",NA,NA
"21","LCRA",2024-08-02,5,"LEP","1.31","1.5",NA,NA
"22","LCRA",2024-08-02,5,"LEP","1.54","1.9",NA,NA
"23","LCRA",2024-08-02,5,"DERM","71.2","7.7",NA,NA
"24","LCRA",2024-08-02,5,"EVA","46.18","8.1999999999999993","4",NA
"25","LCRA",2024-08-02,5,"LEP","NA","NA",NA,NA
"26","LCRA",2024-08-02,5,"LEP","NA","NA",NA,NA
"27","LCRA",2024-08-02,5,"EVA","NA","NA",NA,NA
"28","LCRA",2024-08-02,5,"DERM","NA","NA","A few more EVAs and DERMs just outside belt",NA
