"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","RT",2024-08-03,"1","LEP","NA","NA",NA,NA
"2","RT",2024-08-03,"1","LEP","NA","NA",NA,NA
"3","RT",2024-08-03,"1","LEP","NA","NA",NA,NA
"4","RT",2024-08-03,"1","LEP","NA","NA",NA,NA
"5","RT",2024-08-03,"1","EVA","53.6","8.9",NA,NA
"6","RT",2024-08-03,"1","EVA","39.659999999999997","8.1999999999999993",4,NA
"7","RT",2024-08-03,"1","EVA","15.33","4.5999999999999996",NA,NA
"8","RT",2024-08-03,"1","EVA","18.48","5.3",NA,NA
"9","RT",2024-08-03,"1","EVA","13.6","4.9000000000000004",NA,NA
"10","RT",2024-08-03,"1","LEP","0.95","1.6",NA,NA
"11","RT",2024-08-03,"1","LEP","1.36","1.7",NA,NA
"12","RT",2024-08-03,"1","LEP","1.22","1.8",NA,NA
"13","RT",2024-08-03,"1","LEP","0.43","1",NA,NA
"14","RT",2024-08-03,"1","LEP","0.82","1.3",NA,NA
"15","RT",2024-08-03,"1","LEP","1.27","1.9",NA,NA
"16","RT",2024-08-03,"1","LEP","1.35","2",NA,NA
"17","RT",2024-08-03,"1","EVA","NA","NA",NA,NA
"18","RT",2024-08-03,"1","EVA","NA","NA",NA,NA
"19","RT",2024-08-03,"1","LEP","0.88","1.8",3,NA
"20","RT",2024-08-03,"1","EVA","NA","NA",NA,NA
"21","RT",2024-08-03,"1","DERM","8.06","3.4",NA,NA
"22","RT",2024-08-03,"1","PIS","NA","14.7",NA,NA
"23","RT",2024-08-03,"1","PIS","NA","10.1",NA,NA
"24","RT",2024-08-03,"1","DERM","57.6","7.4",NA,NA
"25","RT",2024-08-03,"1","EVA","34.4","7.9",NA,NA
"26","RT",2024-08-03,"1","EVA","55.01","8",NA,NA
"27","RT",2024-08-03,"1","PIS","313.10000000000002","12.1",NA,NA
"28","RT",2024-08-03,"1","PIS","289.7","11.7",NA,NA
"29","RT",2024-08-03,"x","PIS","443.4","14.4",NA,NA
"30","RT",2024-08-03,"x","PIS","414.9","16.8",NA,NA
"31","RT",2024-08-03,"x","PIS","NA","14",NA,NA
"32","RT",2024-08-03,"x","PIS","123.9","8.3000000000000007",NA,NA
"33","RT",2024-08-03,"x","PIS","71.8","7.2",NA,NA
"34","RT",2024-08-03,"x","PIS","106.4","8.4",NA,NA
"35","RT",2024-08-03,"x","EVA","5.43","3.5",NA,NA
"36","RT",2024-08-03,"1","HEN","10.97","5.6",NA,"SSWD?"
"37","RT",2024-08-03,"2","LEP","6.87","3.6",NA,NA
"38","RT",2024-08-03,"2","LEP","0.88","1.5",NA,NA
"39","RT",2024-08-03,"2","LEP","3.17","2.9",NA,NA
"40","RT",2024-08-03,"2","LEP","2.2000000000000002","2.5",NA,NA
"41","RT",2024-08-03,"2","LEP","0.44","1.3",3,NA
"42","RT",2024-08-03,"2","LEP","1","1.4",NA,"SSWD?"
"43","RT",2024-08-03,"2","LEP","1.33","1.8",NA,NA
"44","RT",2024-08-03,"2","LEP","2.58","2.2999999999999998",NA,NA
"45","RT",2024-08-03,"2","LEP","1.6","1.9",NA,NA
"46","RT",2024-08-03,"2","LEP","1.37","1.7",NA,NA
"47","RT",2024-08-03,"2","LEP","0.69","1.6",NA,NA
"48","RT",2024-08-03,"2","LEP","1.72","2",NA,NA
"49","RT",2024-08-03,"2","LEP","1.83","1.8",NA,NA
"50","RT",2024-08-03,"2","LEP","1.93","2",NA,NA
"51","RT",2024-08-03,"2","LEP","9.2799999999999994","4.2",NA,NA
"52","RT",2024-08-03,"2","LEP","4.08","2.9",NA,NA
"53","RT",2024-08-03,"2","LEP","2.0699999999999998","2.2000000000000002",NA,NA
"54","RT",2024-08-03,"2","LEP","1.44","1.6",NA,NA
"55","RT",2024-08-03,"2","EVA","12.25","5.0999999999999996",NA,NA
"56","RT",2024-08-03,"2","LEP","0.66","1.6",4,NA
"57","RT",2024-08-03,"2","EVA","19.579999999999998","6",NA,NA
"58","RT",2024-08-03,"2","EVA","44.26","9.1999999999999993",NA,NA
"59","RT",2024-08-03,"2","LEP","1.23","1.4",5,NA
"60","RT",2024-08-03,"3","LEP","1.32","1.7",NA,NA
"61","RT",2024-08-03,"3","LEP","2.79","2.8",NA,NA
"62","RT",2024-08-03,"3","LEP","3.19","2.4",NA,NA
"63","RT",2024-08-03,"3","LEP","5.16","3.1",5,NA
"64","RT",2024-08-03,"3","LEP","1.67","1.8",NA,NA
"65","RT",2024-08-03,"3","LEP","6.65","3.4",NA,NA
"66","RT",2024-08-03,"3","LEP","1.27","1.7",NA,NA
"67","RT",2024-08-03,"3","HEN","10.220000000000001","6.1",NA,NA
"68","RT",2024-08-03,"3","DERM","42.6","6.3",NA,NA
"69","RT",2024-08-03,"x","PIS","NA","8",NA,NA
"70","RT",2024-08-03,"x","PIS","NA","7",NA,NA
"71","RT",2024-08-03,"x","PIS","305.10000000000002","11.6",NA,NA
