,Site,Date,Belt,Spp,Wt,length,# Whole Arms,Notes
1,LCFP,2025-04-30,1,LEP,NA,NA,,
2,LCFP,2025-04-30,1,LEP,NA,NA,,
3,LCFP,2025-04-30,1,LEP,NA,NA,,
4,LCFP,2025-04-30,1,LEP,NA,NA,,
5,LCFP,2025-04-30,1,LEP,NA,NA,,Wasting? Photographed
6,LCFP,2025-04-30,1,LEP,1.36,1.7,,
7,LCFP,2025-04-30,1,LEP,3.27,2.8,,
8,LCFP,2025-04-30,1,LEP,1.82,2.1,,
9,LCFP,2025-04-30,1,LEP,3.39,3,,
10,LCFP,2025-04-30,1,LEP,2.76,2.8,,
11,LCFP,2025-04-30,1,LEP,3.49,3,,
12,LCFP,2025-04-30,1,LEP,5.73,3.4,,
13,LCFP,2025-04-30,1,LEP,0.8,1.6,,
14,LCFP,2025-04-30,1,LEP,0.68,1.3,,
15,LCFP,2025-04-30,1,LEP,1.07,1.7,5,
16,LCFP,2025-04-30,1,LEP,1.04,1.6,,
17,LCFP,2025-04-30,1,LEP,3.8,3,,
18,LCFP,2025-04-30,1,LEP,1.39,2,3,
19,LCFP,2025-04-30,1,LEP,2.84,2.1,,
20,LCFP,2025-04-30,1,LEP,3.34,2.2,,
21,LCFP,2025-04-30,1,LEP,4.88,3,,
22,LCFP,2025-04-30,1,LEP,1.69,2.3,5,
23,LCFP,2025-04-30,1,LEP,4.12,2.7,,
24,LCFP,2025-04-30,1,LEP,6.86,3.5,,
25,LCFP,2025-04-30,1,LEP,2.44,2.3,,
26,LCFP,2025-04-30,1,LEP,4.51,3,,
27,LCFP,2025-04-30,1,LEP,0.47,1.1,,
28,LCFP,2025-04-30,1,LEP,6.48,3.2,,
29,LCFP,2025-04-30,1,LEP,2.59,2.3,,
30,LCFP,2025-04-30,1,LEP,2.61,2.4,,
31,LCFP,2025-04-30,1,LEP,0.77,1.6,,
32,LCFP,2025-04-30,1,LEP,0.35,1.1,,
33,LCFP,2025-04-30,1,LEP,1.15,1.8,,
34,LCFP,2025-04-30,1,LEP,0.79,1.6,,
35,LCFP,2025-04-30,1,LEP,0.67,1.2,,
36,LCFP,2025-04-30,1,LEP,0.6,1.3,,
37,LCFP,2025-04-30,1,LEP,0.42,1,,
38,LCFP,2025-04-30,1,EVA,54.9,9,,
39,LCFP,2025-04-30,1,DERM,131.7,9.2,,
40,LCFP,2025-04-30,1,DERM,88.3,8.6,,
41,LCFP,2025-04-30,x,PIS,656.2,21.5,,
42,LCFP,2025-04-30,x,PIS,572.8,18.8,,
43,LCFP,2025-04-30,x,PIS,646.1,18.5,,
44,LCFP,2025-04-30,x,PIS,569.8,18.5,,
45,LCFP,2025-04-30,x,PIS,397.3,14.6,,
46,LCFP,2025-04-30,x,PIS,621.4,18,,
47,LCFP,2025-04-30,x,PIS,465.2,17.5,,
48,LCFP,2025-04-30,2,DERM,NA,NA,,
49,LCFP,2025-04-30,2,LEP,0.91,1.7,,
50,LCFP,2025-04-30,2,LEP,3.24,2.5,,
51,LCFP,2025-04-30,2,LEP,3.46,2.8,,
52,LCFP,2025-04-30,2,LEP,3.27,2.5,,
53,LCFP,2025-04-30,2,LEP,4.85,3,,
54,LCFP,2025-04-30,2,LEP,1.6,2,,
55,LCFP,2025-04-30,2,LEP,2.01,2.3,,
56,LCFP,2025-04-30,2,LEP,3.42,2.4,,
57,LCFP,2025-04-30,2,LEP,2.79,2.5,,
58,LCFP,2025-04-30,2,LEP,4.01,2.7,,
59,LCFP,2025-04-30,2,LEP,1.11,1.8,,
60,LCFP,2025-04-30,2,LEP,NA,NA,,
61,LCFP,2025-04-30,2,LEP,NA,NA,,
62,LCFP,2025-04-30,2,LEP,1.91,2.4,5,
63,LCFP,2025-04-30,2,EVA,64.22,10.3,,
64,LCFP,2025-04-30,2,DERM,12.32,4.5,,
65,LCFP,2025-04-30,2,DERM,12.42,4.3,,
66,LCFP,2025-04-30,x,PIS,NA,NA,,
67,LCFP,2025-04-30,x,PIS,317.6,13.7,,
68,LCFP,2025-04-30,x,PIS,325.8,14,,
69,LCFP,2025-04-30,x,PIS,532.5,15.8,,
70,LCFP,2025-04-30,x,PIS,NA,NA,,
71,LCFP,2025-04-30,x,PIS,399,16.4,,
