,Site,Date,Belt,Spp,Wt,length,# Whole Arms,Notes
1,LCFP,2025-05-01,3,LEP,NA,NA,,
2,LCFP,2025-05-01,3,LEP,NA,NA,,
3,LCFP,2025-05-01,3,LEP,NA,NA,,Dead!
4,LCFP,2025-05-01,3,LEP,0.67,1.3,,
5,LCFP,2025-05-01,3,LEP,1.05,1.7,,
6,LCFP,2025-05-01,3,LEP,1.33,1.6,,
7,LCFP,2025-05-01,3,LEP,4.01,2.6,,
8,LCFP,2025-05-01,3,DERM,71.58,8.5,,
9,LCFP,2025-05-01,4,LEP,NA,NA,,
10,LCFP,2025-05-01,4,LEP,NA,NA,,
11,LCFP,2025-05-01,4,LEP,NA,NA,,
12,LCFP,2025-05-01,4,LEP,NA,NA,,
13,LCFP,2025-05-01,4,LEP,NA,NA,,
14,LCFP,2025-05-01,4,LEP,NA,NA,,
15,LCFP,2025-05-01,4,LEP,NA,NA,,
16,LCFP,2025-05-01,4,LEP,NA,NA,,
17,LCFP,2025-05-01,4,LEP,2.39,2.4,,
18,LCFP,2025-05-01,4,LEP,0.27,0.9,,
19,LCFP,2025-05-01,4,LEP,0.39,1.1,,
20,LCFP,2025-05-01,4,LEP,5.39,3.5,,
21,LCFP,2025-05-01,4,LEP,NA,NA,,
22,LCFP,2025-05-01,4,LEP,3.14,3,,
23,LCFP,2025-05-01,4,LEP,4.66,2.9,,
24,LCFP,2025-05-01,4,LEP,2.42,2.3,,
25,LCFP,2025-05-01,4,LEP,4.99,3.5,,
26,LCFP,2025-05-01,4,LEP,0.73,1.8,,
27,LCFP,2025-05-01,4,LEP,0.27,0.9,5,
28,LCFP,2025-05-01,4,LEP,0.68,1.4,,
29,LCFP,2025-05-01,4,LEP,3.97,3.7,,
30,LCFP,2025-05-01,4,LEP,5.1,3.3,,
31,LCFP,2025-05-01,4,LEP,2.64,2.7,,
32,LCFP,2025-05-01,4,LEP,0.5,1.2,4,
33,LCFP,2025-05-01,4,LEP,2.2,2.1,,
34,LCFP,2025-05-01,4,LEP,1.1,1.5,,
35,LCFP,2025-05-01,4,LEP,1.2,1.6,,
36,LCFP,2025-05-01,4,LEP,0.99,1.8,,
37,LCFP,2025-05-01,4,LEP,6.76,3.7,,*Brooding*
38,LCFP,2025-05-01,4,LEP,0.65,1.3,,
39,LCFP,2025-05-01,4,LEP,3.28,2.5,,
40,LCFP,2025-05-01,4,LEP,5.28,3.4,,
41,LCFP,2025-05-01,4,LEP,0.15,0.7,4,
42,LCFP,2025-05-01,4,LEP,9.84,5.8,,
43,LCFP,2025-05-01,5,LEP,0.4,1.2,,
44,LCFP,2025-05-01,5,LEP,0.98,1.5,,
45,LCFP,2025-05-01,5,LEP,0.6,1.4,,
46,LCFP,2025-05-01,5,LEP,1.24,1.9,,
47,LCFP,2025-05-01,5,LEP,6.3,3.7,5,
48,LCFP,2025-05-01,5,LEP,0.77,1.3,,
49,LCFP,2025-05-01,5,LEP,0.2,0.7,,
50,LCFP,2025-05-01,5,LEP,0.45,1.2,,
51,LCFP,2025-05-01,5,LEP,0.52,1.3,,
52,LCFP,2025-05-01,5,LEP,5.99,3.2,,
53,LCFP,2025-05-01,5,LEP,0.54,1.2,,
54,LCFP,2025-05-01,5,LEP,0.67,1.4,,
55,LCFP,2025-05-01,5,LEP,NA,NA,,
56,LCFP,2025-05-01,5,LEP,0.61,1.1,,
57,LCFP,2025-05-01,5,LEP,0.43,1,,
58,LCFP,2025-05-01,5,LEP,0.74,1.5,,
59,LCFP,2025-05-01,5,LEP,1.07,1.7,,
60,LCFP,2025-05-01,5,LEP,0.95,1.4,,
61,LCFP,2025-05-01,5,LEP,0.67,1.6,,
62,LCFP,2025-05-01,5,LEP,1.28,1.8,,
63,LCFP,2025-05-01,5,LEP,2.9,3,,
64,LCFP,2025-05-01,5,LEP,0.46,1.1,,
65,LCFP,2025-05-01,5,LEP,0.79,1.2,,
66,LCFP,2025-05-01,5,LEP,2.62,2.2,,
67,LCFP,2025-05-01,5,LEP,2.16,2.4,,
68,LCFP,2025-05-01,5,LEP,2.55,2.5,,
69,LCFP,2025-05-01,5,LEP,1.22,1.9,,
70,LCFP,2025-05-01,5,LEP,0.6,1.2,,
71,LCFP,2025-05-01,5,LEP,0.63,1.2,,
72,LCFP,2025-05-01,5,LEP,0.43,1.3,,
73,LCFP,2025-05-01,5,LEP,0.8,1.4,,
74,LCFP,2025-05-01,5,LEP,0.34,1,,
75,LCFP,2025-05-01,5,LEP,0.5,1.2,,
76,LCFP,2025-05-01,5,LEP,4.3,3.1,,
77,LCFP,2025-05-01,5,LEP,7.55,3.8,,
78,LCFP,2025-05-01,5,PIS,NA,NA,,
