"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","CP",2024-06-24,"1","LEP","0.98","1.7","not scored",NA
"2","CP",2024-06-24,"1","HEN","1.87","2.2999999999999998","not scored",NA
"3","CP",2024-06-24,"1","HEN","3.58","3.1","not scored",NA
"4","CP",2024-06-24,"1","LEP","0.65","1.2","not scored",NA
"5","CP",2024-06-24,"1","LEP","2.12","2.2000000000000002","not scored",NA
"6","CP",2024-06-24,"1","LEP","2.88","2.5","not scored",NA
"7","CP",2024-06-24,"1","HEN","1.28","1.7","not scored",NA
"8","CP",2024-06-24,"1","HEN","1.1299999999999999","1.8","not scored",NA
"9","CP",2024-06-24,"1","HEN","2.99","2.9","not scored",NA
"10","CP",2024-06-24,"1","EV","NA","NA","not scored","Irretrievable"
"11","CP",2024-06-24,"2","LEP","1.1100000000000001","1.7","not scored",NA
"12","CP",2024-06-24,"2","LEP","4.9400000000000004","2.8","not scored",NA
"13","CP",2024-06-24,"2","LEP","0.82","1.9","not scored",NA
"14","CP",2024-06-24,"2","LEP","4.99","3.2","not scored",NA
"15","CP",2024-06-24,"2","LEP","2.2999999999999998","2","not scored",NA
"16","CP",2024-06-24,"2","LEP","1.1299999999999999","1.6","not scored","Arm accidentally removed by AKD during retrieval"
"17","CP",2024-06-24,"2","LEP","1.48","1.7","not scored",NA
"18","CP",2024-06-24,"2","LEP","2.0299999999999998","2.2999999999999998","not scored",NA
"19","CP",2024-06-24,"2","LEP","1.4","1.7","not scored",NA
"20","CP",2024-06-24,"2","LEP","1.52","1.8","not scored",NA
"21","CP",2024-06-24,"2","LEP","2.1800000000000002","1.7","not scored",NA
"22","CP",2024-06-24,"2","LEP","0.3","0.9","not scored",NA
"23","CP",2024-06-24,"2","LEP","2.48","2.4","not scored",NA
"24","CP",2024-06-24,"x","?","1.4","1.9","not scored","Five arms; photographed"
"25","CP",2024-06-24,"2","LEP","3.54","2.5","not scored",NA
"26","CP",2024-06-24,"2","LEP","2.62","2.2999999999999998","not scored",NA
"27","CP",2024-06-24,"2","LEP","2.0299999999999998","2","not scored",NA
"28","CP",2024-06-24,"2","LEP","1.47","1.6","not scored",NA
"29","CP",2024-06-24,"2","LEP","5.69","3.1","not scored",NA
"30","CP",2024-06-24,"3","LEP","NA","NA","not scored","Very small; irretrievable"
"31","CP",2024-06-24,"3","LEP","NA","NA","not scored","Very small; irretrievable"
"32","CP",2024-06-24,"2","LEP","0.76","1.3","not scored",NA
"33","CP",2024-06-24,"2","LEP","1.33","1.8","not scored",NA
"34","CP",2024-06-24,"2","LEP","0.21","0.9","not scored",NA
"35","CP",2024-06-24,"2","LEP","0.05","0.4","not scored",NA
"36","CP",2024-06-24,"2","LEP","0.66","1.3","not scored",NA
"37","CP",2024-06-24,"3","HEN","13.51","6.5","not scored",NA
"38","CP",2024-06-24,"3","LEP","2.0099999999999998","2.1","not scored",NA
"39","CP",2024-06-24,"3","LEP","0.17","0.7","not scored",NA
"40","CP",2024-06-24,"3","LEP","0.31","1.1000000000000001","not scored",NA
"41","CP",2024-06-24,"3","?","0.36","1","not scored","5 arms"
"42","CP",2024-06-24,"x","LEP","1.04","1.5","not scored",NA
"43","CP",2024-06-24,"x","LEP","4.58","2.8","not scored",NA
"44","CP",2024-06-24,"x","LEP","6.84","3.6","not scored",NA
"45","CP",2024-06-24,"x","LEP","6.62","2.9","not scored",NA
"46","CP",2024-06-24,"x","LEP","3.52","2.5","not scored",NA
"47","CP",2024-06-24,"x","LEP","9.01","4.0999999999999996","not scored",NA
"48","CP",2024-06-24,"x","LEP","4.82","2.7","not scored",NA
"49","CP",2024-06-24,"x","LEP","4.6100000000000003","3.2","not scored",NA
"50","CP",2024-06-24,"x","LEP","1.1399999999999999","1.4","not scored",NA
"51","CP",2024-06-24,"x","LEP","8.16","3.9","not scored",NA
"52","CP",2024-06-24,"x","LEP","4.5599999999999996","2.8","not scored",NA
"53","CP",2024-06-24,"x","LEP","2.56","2.5","not scored",NA
"54","CP",2024-06-24,"x","LEP","0.7","1.3","not scored",NA
"55","CP",2024-06-24,"x","LEP","0.32","1.1000000000000001","not scored",NA
"56","CP",2024-06-24,"x","LEP","0.75","1.3","not scored",NA
"57","CP",2024-06-24,"x","LEP","3.53","2.4","not scored",NA
"58","CP",2024-06-24,"x","LEP","7.43","3.1","not scored",NA
"59","CP",2024-06-24,"x","LEP","3.16","2.5","not scored",NA
"60","CP",2024-06-24,"x","LEP","10.34","4.0999999999999996","not scored",NA
"61","CP",2024-06-24,"x","LEP","1.29","1.9","not scored",NA
"62","CP",2024-06-24,"x","LEP","1.47","2.1","not scored",NA
"63","CP",2024-06-24,"x","LEP","6.42","3.3","not scored",NA
