"","Site","Date","Belt","Spp","Wt","length","# Whole Arms","Notes"
"1","DB",2024-06-25,"1","LEP","NA","NA","NA","Irretrievable"
"2","DB",2024-06-25,"1","LEP","2.74","2.4",NA,NA
"3","DB",2024-06-25,"1","LEP","1.78","2.1",NA,NA
"4","DB",2024-06-25,"1","LEP","9.73","3.8",NA,NA
"5","DB",2024-06-25,"1","LEP","2.46","2.7",NA,NA
"6","DB",2024-06-25,"1","LEP","3.48","2.6",NA,NA
"7","DB",2024-06-25,"1","LEP","2.34","2.2999999999999998",NA,NA
"8","DB",2024-06-25,"1","LEP","1.66","1.8",NA,NA
"9","DB",2024-06-25,"1","LEP","3.72","2.7",NA,NA
"10","DB",2024-06-25,"1","LEP","0.74","1.4","5",NA
"11","DB",2024-06-25,"1","LEP","0.45","1.1000000000000001",NA,NA
"12","DB",2024-06-25,"1","LEP","0.35","1.2","5",NA
"13","DB",2024-06-25,"1","LEP","0.33","0.8",NA,NA
"14","DB",2024-06-25,"1","LEP","0.54","1.9","5",NA
"15","DB",2024-06-25,"1","LEP","0.85","1.3",NA,NA
"16","DB",2024-06-25,"1","LEP","0.73","1.5","5",NA
"17","DB",2024-06-25,"1","LEP","3.37","2.7",NA,NA
"18","DB",2024-06-25,"1","LEP","0.15","0.7",NA,NA
"19","DB",2024-06-25,"1","LEP","2.0099999999999998","2.2000000000000002",NA,NA
"20","DB",2024-06-25,"1","HEN","2.62","3.4","2",":("
"21","DB",2024-06-25,"1","LEP","1.01","1.5",NA,NA
"22","DB",2024-06-25,"1","LEP","0.74","1.4",NA,NA
"23","DB",2024-06-25,"2","LEP","NA","NA","NA","Irretrievable"
"24","DB",2024-06-25,"2","LEP","5.74","3.1",NA,NA
"25","DB",2024-06-25,"2","LEP","3.5","2.2999999999999998",NA,NA
"26","DB",2024-06-25,"2","LEP","5.17","3",NA,NA
"27","DB",2024-06-25,"2","LEP","2.88","2.7","5",NA
"28","DB",2024-06-25,"2","LEP","1.81","2.5","5",NA
"29","DB",2024-06-25,"2","LEP","0.96","1.6",NA,NA
"30","DB",2024-06-25,"2","LEP","0.66","1.3",NA,NA
"31","DB",2024-06-25,"3","HEN","0.09","0.7",NA,NA
"32","DB",2024-06-25,"2","LEP","3","2.5",NA,NA
"33","DB",2024-06-25,"2","LEP","5.92","3.4",NA,NA
"34","DB",2024-06-25,"2","LEP","0.52","1.2",NA,NA
"35","DB",2024-06-25,"2","LEP","0.69","1.5",NA,NA
"36","DB",2024-06-25,"2","LEP","2.17","2.1",NA,NA
"37","DB",2024-06-25,"2","LEP","1.54","1.6","5","Tiny 6th arm; we have a photo of this inidvidual"
"38","DB",2024-06-25,"2","LEP","0.65","1.5",NA,NA
"39","DB",2024-06-25,"2","LEP","7.0000000000000007E-2","0.6",NA,NA
"40","DB",2024-06-25,"2","LEP","0.17","0.9","4","""?"" in margins"
"41","DB",2024-06-25,"3","LEP","6.06","3.3",NA,NA
"42","DB",2024-06-25,"3","?","0.96","1.3","5",NA
"43","DB",2024-06-25,"3","LEP","0.6","1.4",NA,NA
"44","DB",2024-06-25,"3","LEP","1.39","2.4","1","1 huge [arm], 5 small"
"45","DB",2024-06-25,"3","HEN","1.04","1.3",NA,NA
"46","DB",2024-06-25,"3","LEP","0.76","1.5","5",NA
"47","DB",2024-06-25,"3","LEP","7.01","3.6",NA,NA
"48","DB",2024-06-25,"3","LEP","2.87","2.1",NA,NA
"49","DB",2024-06-25,"3","LEP","8.16","3.6",NA,NA
"50","DB",2024-06-25,"3","LEP","3.74","2.6",NA,NA
"51","DB",2024-06-25,"3","LEP","1.5","2.2999999999999998",NA,NA
"52","DB",2024-06-25,"3","LEP","7","4.0999999999999996",NA,NA
"53","DB",2024-06-25,"3","LEP","2.64","3.1",NA,NA
"54","DB",2024-06-25,"3","LEP","0.36","1.2",NA,NA
"55","DB",2024-06-25,"x","LEP","4.45","3.8",NA,NA
"56","DB",2024-06-25,"x","LEP","1.79","2",NA,NA
"57","DB",2024-06-25,"x","LEP","0.52","1.8",NA,NA
"58","DB",2024-06-25,"x","LEP","2.63","2.1",NA,NA
"59","DB",2024-06-25,"x","LEP","12.16","3.8",NA,NA
